iter	TotalF1	MultiClass
525	0.9645420681	0.09890653246
526	0.964547442	0.09888003152
527	0.9645478218	0.09885841408
528	0.9645582289	0.09882377841
529	0.9645698137	0.0988004826
530	0.9645857655	0.09878076995
531	0.9645856562	0.09875626943
532	0.9645749227	0.09872975992
533	0.9645853707	0.09870892513
534	0.9646118249	0.098665476
535	0.964619721	0.09865161091
536	0.9646335994	0.09860243431
537	0.9646391298	0.09858775792
538	0.9646500401	0.0985676538
539	0.9646495735	0.09853304635
540	0.9646465022	0.09849466458
541	0.9646713006	0.09845462625
542	0.9646846139	0.09843676892
543	0.9646954465	0.09840468875
544	0.9646900248	0.09839024321
545	0.9647009301	0.09836569746
546	0.9647068319	0.0983493661
547	0.964717654	0.09829573259
548	0.9647255566	0.09828055414
549	0.9647389682	0.09825651272
550	0.9647555676	0.09822261411
551	0.9647511669	0.09819352766
552	0.9647729591	0.09814540047
553	0.9647756366	0.09811030149
554	0.9647891869	0.09807940441
555	0.9647911129	0.09804702029
556	0.9648073714	0.09802628815
557	0.9648044621	0.09801122008
558	0.9648153564	0.0979516923
559	0.9648345282	0.09793200406
560	0.9648587474	0.09791860196
561	0.9648401043	0.09788913072
562	0.9648264561	0.09787364144
563	0.9648371249	0.09783606164
564	0.964850624	0.09780442293
565	0.9648447298	0.0977818221
566	0.9648556608	0.09773615863
567	0.9648557585	0.09771335456
568	0.9648691084	0.09767831858
569	0.9648744582	0.09764841571
570	0.9648771824	0.09762779359
571	0.9649016486	0.09759814316
